Airline,Airline ID,Source airport,Destination airport
4U,2548,HDF,DUS
4U,2548,HDF,FRA
4U,2548,HDF,STR
4U,2548,HEL,TXL
4U,2548,HER,CGN
4U,2548,HER,DUS
4U,2548,HER,HAJ
4U,2548,HER,HAM
4U,2548,HER,STR
4U,2548,HER,TXL
4U,2548,IBZ,CGN
4U,2548,IBZ,DUS
4U,2548,IBZ,STR
4U,2548,IBZ,TXL
4U,2548,JMK,CGN
4U,2548,JTR,CGN
4U,2548,KGS,CGN
4U,2548,KLU,CGN
4U,2548,KLU,HAM
4U,2548,KLU,TXL
4U,2548,KRK,STR
4U,2548,KTW,DUS
4U,2548,KVA,CGN
4U,2548,KVA,STR
4U,2548,LEJ,CGN
4U,2548,LEJ,DUS
4U,2548,LEJ,STR
4U,2548,LHR,CGN
4U,2548,LHR,HAM
4U,2548,LHR,STR
4U,2548,LHR,TXL
4U,2548,LIN,TXL
4U,2548,LIS,CGN
4U,2548,LIS,STR
4U,2548,LYS,DUS
4U,2548,MAD,DUS
4U,2548,MAD,HAM
4U,2548,MAN,CGN
4U,2548,MAN,HAM
4U,2548,MPL,DUS
4U,2548,MUC,DTM
4U,2548,MXP,CGN
4U,2548,MXP,DUS
4U,2548,MXP,HAJ
4U,2548,MXP,HAM
4U,2548,MXP,STR
4U,2548,NAP,CGN
4U,2548,NAP,HAJ
4U,2548,NAP,HAM
4U,2548,NAP,STR
4U,2548,NCE,CGN
4U,2548,NCE,HAM
4U,2548,NCE,TXL
4U,2548,NQY,DUS
4U,2548,NUE,DUS
4U,2548,NUE,HAM
4U,2548,NUE,TXL
4U,2548,OLB,CGN
4U,2548,OLB,DUS
4U,2548,OLB,HAM
4U,2548,OLB,STR
4U,2548,OSL,HAM
4U,2548,PMI,CGN
4U,2548,PMI,DTM
4U,2548,PMI,DUS
4U,2548,PMI,HAJ
4U,2548,PMI,HAM
4U,2548,PMI,STR
4U,2548,PMI,TXL
4U,2548,PMO,CGN
4U,2548,POZ,DUS
4U,2548,PRG,CGN
4U,2548,PRG,DUS
4U,2548,PRG,HAM
4U,2548,PRN,DUS
4U,2548,PRN,HAJ
4U,2548,PRN,HAM
4U,2548,PRN,STR
4U,2548,PRN,TXL
4U,2548,PSA,CGN
4U,2548,PUY,CGN
4U,2548,RHO,CGN
4U,2548,RJK,CGN
4U,2548,RJK,HAM
4U,2548,RJK,STR
4U,2548,RLG,CGN
4U,2548,RLG,STR
4U,2548,SAW,CGN
4U,2548,SAW,DTM
4U,2548,SAW,HAJ
4U,2548,SAW,HAM
4U,2548,SAW,STR
4U,2548,SAW,TXL
4U,2548,SJJ,CGN
4U,2548,SJJ,STR
4U,2548,SJJ,TXL
4U,2548,SKG,CGN
4U,2548,SKG,DUS
4U,2548,SKG,HAJ
4U,2548,SKG,HAM
4U,2548,SKG,STR
4U,2548,SPU,CGN
4U,2548,SPU,DTM
4U,2548,SPU,DUS
4U,2548,SPU,HAJ
4U,2548,SPU,HAM
4U,2548,SPU,STR
4U,2548,SPU,TXL
4U,2548,STN,CGN
4U,2548,STN,HAJ
4U,2548,STN,STR
4U,2548,STR,AGP
4U,2548,STR,ATH
4U,2548,STR,BCN
4U,2548,STR,BDS
4U,2548,STR,BEG
4U,2548,STR,BIA
4U,2548,STR,BIO
4U,2548,STR,BRE
4U,2548,STR,BRI
4U,2548,STR,BRU
4U,2548,STR,BUD
4U,2548,STR,CAG
4U,2548,STR,CFU
4U,2548,STR,CTA
4U,2548,STR,DBV
4U,2548,STR,DRS
4U,2548,STR,FAO
4U,2548,STR,FCO
4U,2548,STR,HAJ
4U,2548,STR,HAM
4U,2548,STR,HDF
4U,2548,STR,HER
4U,2548,STR,IBZ
4U,2548,STR,KRK
4U,2548,STR,KVA
4U,2548,STR,LEJ
4U,2548,STR,LHR
4U,2548,STR,LIS
4U,2548,STR,MXP
4U,2548,STR,NAP
4U,2548,STR,OLB
4U,2548,STR,PMI
4U,2548,STR,PRN
4U,2548,STR,RJK
4U,2548,STR,RLG
4U,2548,STR,SAW
4U,2548,STR,SJJ
4U,2548,STR,SKG
4U,2548,STR,SPU
4U,2548,STR,STN
4U,2548,STR,SUF
4U,2548,STR,TXL
4U,2548,STR,VIE
4U,2548,STR,ZAD
4U,2548,STR,ZAG
4U,2548,SUF,CGN
4U,2548,SUF,DUS
4U,2548,SUF,HAJ
4U,2548,SUF,STR
4U,2548,SZG,CGN
4U,2548,TLS,HAM
4U,2548,TRN,DUS
4U,2548,TXL,AGP
4U,2548,TXL,AOI
4U,2548,TXL,BHX
4U,2548,TXL,BIA
4U,2548,TXL,BLQ
4U,2548,TXL,CGN
4U,2548,TXL,CTA
4U,2548,TXL,DBV
4U,2548,TXL,FCO
4U,2548,TXL,FMM
4U,2548,TXL,HEL
4U,2548,TXL,HER
4U,2548,TXL,IBZ
4U,2548,TXL,KLU
4U,2548,TXL,LHR
4U,2548,TXL,LIN
4U,2548,TXL,NCE
4U,2548,TXL,NUE
4U,2548,TXL,PMI
4U,2548,TXL,PRN
4U,2548,TXL,SAW
4U,2548,TXL,SJJ
4U,2548,TXL,SPU
4U,2548,TXL,STR
4U,2548,TXL,VIE
4U,2548,TXL,VRN
4U,2548,TXL,ZAD
4U,2548,VCE,CGN
4U,2548,VCE,DUS
4U,2548,VCE,HAJ
4U,2548,VCE,HAM
4U,2548,VIE,CGN
4U,2548,VIE,HAJ
4U,2548,VIE,HAM
4U,2548,VIE,STR
4U,2548,VIE,TXL
4U,2548,VRN,CGN
4U,2548,VRN,HAM
4U,2548,VRN,TXL
4U,2548,WAW,CGN
4U,2548,WAW,DUS
4U,2548,WRO,DUS
4U,2548,XRY,CGN
4U,2548,ZAD,CGN
4U,2548,ZAD,DUS
4U,2548,ZAD,STR
4U,2548,ZAD,TXL
4U,2548,ZAG,CGN
4U,2548,ZAG,STR
4U,2548,ZRH,CGN
4U,2548,ZRH,HAM
6I,17095,CPH,SGD
6I,17095,SGD,CPH
7E,563,GWT,HAM
7E,563,HAM,GWT
9U,1073,ATH,KIV
9U,1073,BLQ,KIV
9U,1073,BVA,KIV
9U,1073,DUB,KIV
9U,1073,FCO,KIV
9U,1073,FRA,KIV
9U,1073,KBP,KIV
9U,1073,KIV,ATH
9U,1073,KIV,BLQ
9U,1073,KIV,BVA
9U,1073,KIV,DUB
9U,1073,KIV,FCO
9U,1073,KIV,FRA
9U,1073,KIV,KBP
9U,1073,KIV,LIS
9U,1073,KIV,MXP
9U,1073,KIV,OTP
9U,1073,KIV,STN
9U,1073,KIV,VCE
9U,1073,KIV,VRN
9U,1073,LIS,KIV
9U,1073,MXP,KIV
9U,1073,OTP,KIV
9U,1073,STN,KIV
9U,1073,VCE,KIV
9U,1073,VRN,KIV
A2,19804,ATH,JSH
A2,19804,CFU,SKG
A2,19804,JKH,SKG
A2,19804,JSH,ATH
A2,19804,KLX,SKG
A2,19804,SKG,CFU
A2,19804,SKG,JKH
A2,19804,SKG,KLX
A2,19804,SKG,SMI
A2,19804,SMI,SKG
A3,96,AOK,ATH
A3,96,AOK,KSJ
A3,96,AOK,RHO
A3,96,ARN,KLX
A3,96,ARN,SKG
A3,96,ATH,AOK
A3,96,ATH,AXD
A3,96,ATH,BCN
A3,96,ATH,BEG
A3,96,ATH,BRU
A3,96,ATH,BUD
A3,96,ATH,CDG
A3,96,ATH,CFU
A3,96,ATH,CHQ
A3,96,ATH,DUS
A3,96,ATH,EFL
A3,96,ATH,FCO
A3,96,ATH,FRA
A3,96,ATH,GVA
A3,96,ATH,HER
A3,96,ATH,IEV
A3,96,ATH,IOA
A3,96,ATH,JIK
A3,96,ATH,JKH
A3,96,ATH,JKL
A3,96,ATH,JMK
A3,96,ATH,JNX
A3,96,ATH,JSI
A3,96,ATH,JSY
A3,96,ATH,JTR
A3,96,ATH,JTY
A3,96,ATH,KGS
A3,96,ATH,KIT
A3,96,ATH,KVA
A3,96,ATH,LHR
A3,96,ATH,LRS
A3,96,ATH,LXS
A3,96,ATH,LYS
A3,96,ATH,MAD
A3,96,ATH,MAN
A3,96,ATH,MJT
A3,96,ATH,MLO
A3,96,ATH,MRS
A3,96,ATH,MUC
A3,96,ATH,MXP
A3,96,ATH,NTE
A3,96,ATH,OSL
A3,96,ATH,OTP
A3,96,ATH,PAS
A3,96,ATH,PRG
A3,96,ATH,RHO
A3,96,ATH,SKG
A3,96,ATH,SKU
A3,96,ATH,SMI
A3,96,ATH,SOF
A3,96,ATH,TIA
A3,96,ATH,TXL
A3,96,ATH,VIE
A3,96,ATH,WAW
A3,96,ATH,ZTH
A3,96,AXD,ATH
A3,96,BCN,ATH
A3,96,BEG,ATH
A3,96,BOD,HER
A3,96,BRU,ATH
A3,96,BRU,HER
A3,96,BUD,ATH
A3,96,CDG,ATH
A3,96,CDG,HER
A3,96,CDG,RHO
A3,96,CDG,SKG
A3,96,CFU,ATH
A3,96,CHQ,ATH
A3,96,CHQ,SKG
A3,96,CPH,SKG
A3,96,DUS,ATH
A3,96,DUS,HER
A3,96,DUS,KLX
A3,96,DUS,SKG
A3,96,EFL,ATH
A3,96,FCO,ATH
A3,96,FRA,ATH
A3,96,FRA,HER
A3,96,FRA,SKG
A3,96,GVA,ATH
A3,96,GVA,OPO
A3,96,HAJ,SKG
A3,96,HER,ATH
A3,96,HER,BOD
A3,96,HER,BRU
A3,96,HER,CDG
A3,96,HER,DUS
A3,96,HER,FRA
A3,96,HER,MRS
A3,96,HER,MUC
A3,96,HER,RHO
A3,96,HER,SKG
A3,96,HER,TXL
A3,96,HER,VIE
A3,96,IEV,ATH
A3,96,IOA,ATH
A3,96,JIK,ATH
A3,96,JKH,ATH
A3,96,JKL,ATH
A3,96,JKL,KGS
A3,96,JKL,LRS
A3,96,JMK,ATH
A3,96,JNX,ATH
A3,96,JSH,KSJ
A3,96,JSI,ATH
A3,96,JSY,ATH
A3,96,JTR,ATH
A3,96,JTY,ATH
