Airline,Airline ID,Source airport,Source airport ID,Destination airport,Destination airport ID,Codeshare,Stops,Equipment,Source Latitude,Source Longitude,Destination Latitude,Destination Longitude,Distance
FR,4296,STN,548,MRS,1353,,0,738,51.8849983215,0.234999999404,43.439271922,5.22142410278,1010.0432602316943
FR,4296,STN,548,NOC,600,,0,738,51.8849983215,0.234999999404,53.9103012084961,-8.818490028381348,647.1338051423874
FR,4296,STN,548,NRN,4198,,0,738,51.8849983215,0.234999999404,51.6024017334,6.14216995239,407.80587256840835
FR,4296,STN,548,NUE,347,,0,738,51.8849983215,0.234999999404,49.498699,11.078056,807.6426239205483
FR,4296,STN,548,NYO,699,,0,738,51.8849983215,0.234999999404,58.78860092163086,16.912200927734375,1298.6876052693558
FR,4296,STN,548,OPO,1636,,0,738,51.8849983215,0.234999999404,41.2481002808,-8.68138980865,1362.8154845577883
FR,4296,STN,548,ORK,596,,0,738,51.8849983215,0.234999999404,51.84130096435547,-8.491109848022461,598.8614664906245
FR,4296,STN,548,OSI,1202,,0,738,51.8849983215,0.234999999404,45.46269989013672,18.810199737548828,1533.4756408753362
FR,4296,STN,548,OSR,1582,,0,738,51.8849983215,0.234999999404,49.6963005065918,18.111099243164062,1276.4807229546793
FR,4296,STN,548,OTP,1657,,0,738,51.8849983215,0.234999999404,44.5711111,26.085,2066.284487678518
FR,4296,STN,548,PDV,1193,,0,738,51.8849983215,0.234999999404,42.067799,24.8508,2147.715884107545
FR,4296,STN,548,PEG,1567,,0,738,51.8849983215,0.234999999404,43.095901,12.5132,1340.4408598916636
FR,4296,STN,548,PGF,1356,,0,738,51.8849983215,0.234999999404,42.74039840698242,2.8706700801849365,1035.8805684331498
FR,4296,STN,548,PIS,1268,,0,738,51.8849983215,0.234999999404,46.58769989013672,0.3066659867763519,589.055608785589
FR,4296,STN,548,PMF,1531,,0,738,51.8849983215,0.234999999404,44.824501,10.2964,1079.3199419263447
FR,4296,STN,548,PMI,3998,,0,738,51.8849983215,0.234999999404,39.551700592,2.73881006241,1384.8869564573065
FR,4296,STN,548,PMO,1512,,0,738,51.8849983215,0.234999999404,38.175999,13.091,1822.81775431388
FR,4296,STN,548,POZ,674,,0,738,51.8849983215,0.234999999404,52.4210014343,16.8262996674,1131.0029042256917
FR,4296,STN,548,PRG,1587,,0,738,51.8849983215,0.234999999404,50.1008,14.26,999.7596955110678
FR,4296,STN,548,PSA,1562,,0,738,51.8849983215,0.234999999404,43.683899,10.3927,1184.131176501279
FR,4296,STN,548,PSR,1505,,0,738,51.8849983215,0.234999999404,42.431702,14.1811,1484.0930155939188
