Airline,Airline ID,Source airport,Destination airport,Latitude_source,Longitude_source,Latitude_destination,Longitude_destination
4U,2548,ARN,CGN,59.65190124511699,17.918600082397,50.8658981323,7.1427397728
4U,2548,ARN,DUS,59.65190124511699,17.918600082397,51.289501,6.766780000000001
4U,2548,ARN,HAM,59.65190124511699,17.918600082397,53.630401611328,9.988229751586902
4U,2548,ATH,CGN,37.9364013672,23.944499969499997,50.8658981323,7.1427397728
4U,2548,ATH,STR,37.9364013672,23.944499969499997,48.6898994446,9.22196006775
4U,2548,AYT,CGN,36.898701,30.800501,50.8658981323,7.1427397728
4U,2548,BCN,CGN,41.2971,2.07846,50.8658981323,7.1427397728
4U,2548,BCN,DUS,41.2971,2.07846,51.289501,6.766780000000001
4U,2548,BCN,HAJ,41.2971,2.07846,52.461101532,9.68507957458
4U,2548,BCN,HAM,41.2971,2.07846,53.630401611328,9.988229751586902
4U,2548,BCN,STR,41.2971,2.07846,48.6898994446,9.22196006775
4U,2548,BDS,STR,40.6576,17.947001,48.6898994446,9.22196006775
4U,2548,BEG,STR,44.8184013367,20.3090991974,48.6898994446,9.22196006775
4U,2548,BGO,HAM,60.29339981,5.218140125,53.630401611328,9.988229751586902
4U,2548,BHX,HAM,52.4538993835,-1.7480299472799998,53.630401611328,9.988229751586902
4U,2548,BHX,TXL,52.4538993835,-1.7480299472799998,52.5597,13.2877
4U,2548,BIA,CGN,42.55270004272461,9.48373031616211,50.8658981323,7.1427397728
4U,2548,BIA,DUS,42.55270004272461,9.48373031616211,51.289501,6.766780000000001
4U,2548,BIA,HAM,42.55270004272461,9.48373031616211,53.630401611328,9.988229751586902
4U,2548,BIA,STR,42.55270004272461,9.48373031616211,48.6898994446,9.22196006775
4U,2548,BIA,TXL,42.55270004272461,9.48373031616211,52.5597,13.2877
4U,2548,BIO,DUS,43.30110168457031,-2.9106099605560303,51.289501,6.766780000000001
4U,2548,BIO,STR,43.30110168457031,-2.9106099605560303,48.6898994446,9.22196006775
4U,2548,BLQ,CGN,44.5354,11.2887,50.8658981323,7.1427397728
4U,2548,BLQ,TXL,44.5354,11.2887,52.5597,13.2877
4U,2548,BRE,STR,53.0475006104,8.78666973114,48.6898994446,9.22196006775
4U,2548,BRI,CGN,41.138901,16.760599,50.8658981323,7.1427397728
4U,2548,BRI,DUS,41.138901,16.760599,51.289501,6.766780000000001
4U,2548,BRI,STR,41.138901,16.760599,48.6898994446,9.22196006775
4U,2548,BRU,STR,50.9014015198,4.48443984985,48.6898994446,9.22196006775
4U,2548,BSL,DUS,47.59,7.5291667,51.289501,6.766780000000001
4U,2548,BUD,CGN,47.429759999999995,19.261093,50.8658981323,7.1427397728
4U,2548,BUD,HAM,47.429759999999995,19.261093,53.630401611328,9.988229751586902
4U,2548,BUD,STR,47.429759999999995,19.261093,48.6898994446,9.22196006775
4U,2548,CAG,CGN,39.251499,9.05428,50.8658981323,7.1427397728
4U,2548,CAG,DUS,39.251499,9.05428,51.289501,6.766780000000001
4U,2548,CAG,STR,39.251499,9.05428,48.6898994446,9.22196006775
4U,2548,CDG,HAM,49.012798,2.55,53.630401611328,9.988229751586902
4U,2548,CFU,CGN,39.601898193359375,19.911699295043945,50.8658981323,7.1427397728
4U,2548,CFU,DRS,39.601898193359375,19.911699295043945,51.1328010559082,13.767200469970703
4U,2548,CFU,STR,39.601898193359375,19.911699295043945,48.6898994446,9.22196006775
4U,2548,CGN,ARN,50.8658981323,7.1427397728,59.65190124511699,17.918600082397
4U,2548,CGN,ATH,50.8658981323,7.1427397728,37.9364013672,23.944499969499997
4U,2548,CGN,AYT,50.8658981323,7.1427397728,36.898701,30.800501
4U,2548,CGN,BCN,50.8658981323,7.1427397728,41.2971,2.07846
4U,2548,CGN,BIA,50.8658981323,7.1427397728,42.55270004272461,9.48373031616211
4U,2548,CGN,BLQ,50.8658981323,7.1427397728,44.5354,11.2887
4U,2548,CGN,BRI,50.8658981323,7.1427397728,41.138901,16.760599
4U,2548,CGN,BUD,50.8658981323,7.1427397728,47.429759999999995,19.261093
4U,2548,CGN,CAG,50.8658981323,7.1427397728,39.251499,9.05428
4U,2548,CGN,CFU,50.8658981323,7.1427397728,39.601898193359375,19.911699295043945
4U,2548,CGN,CLY,50.8658981323,7.1427397728,42.52444439999999,8.793055599999999
4U,2548,CGN,CTA,50.8658981323,7.1427397728,37.466801,15.0664
4U,2548,CGN,DBV,50.8658981323,7.1427397728,42.5614013671875,18.268199920654297
4U,2548,CGN,DRS,50.8658981323,7.1427397728,51.1328010559082,13.767200469970703
4U,2548,CGN,DUB,50.8658981323,7.1427397728,53.421299,-6.27007
4U,2548,CGN,EDI,50.8658981323,7.1427397728,55.95000076293945,-3.372499942779541
4U,2548,CGN,FAO,50.8658981323,7.1427397728,37.0144004822,-7.965909957889999
4U,2548,CGN,FCO,50.8658981323,7.1427397728,41.8002778,12.2388889
4U,2548,CGN,FDH,50.8658981323,7.1427397728,47.671298980699994,9.511489868160002
4U,2548,CGN,HAM,50.8658981323,7.1427397728,53.630401611328,9.988229751586902
4U,2548,CGN,HDF,50.8658981323,7.1427397728,53.8787002563,14.152299881
4U,2548,CGN,HER,50.8658981323,7.1427397728,35.3396987915,25.1802997589
4U,2548,CGN,IBZ,50.8658981323,7.1427397728,38.8728981018,1.3731199502899998
4U,2548,CGN,JMK,50.8658981323,7.1427397728,37.43510055541992,25.348100662231445
4U,2548,CGN,JTR,50.8658981323,7.1427397728,36.39920043945313,25.47929954528809
4U,2548,CGN,KGS,50.8658981323,7.1427397728,36.79330062866211,27.09169960021973
