Airline,Airline ID,Source airport,Destination airport,City_source,Country_source,City_destination,Country_destination,Latitude_source,Longitude_source,Latitude_destination,Longitude_destination
4U,2548,DBV,CGN,Dubrovnik,Croatia,Cologne,Germany,42.5614013671875,18.268199920654297,50.8658981323,7.1427397728
4U,2548,DBV,DUS,Dubrovnik,Croatia,Duesseldorf,Germany,42.5614013671875,18.268199920654297,51.289501,6.766780000000001
4U,2548,DBV,HAJ,Dubrovnik,Croatia,Hannover,Germany,42.5614013671875,18.268199920654297,52.461101532,9.68507957458
4U,2548,DBV,HAM,Dubrovnik,Croatia,Hamburg,Germany,42.5614013671875,18.268199920654297,53.630401611328,9.988229751586902
4U,2548,DBV,STR,Dubrovnik,Croatia,Stuttgart,Germany,42.5614013671875,18.268199920654297,48.6898994446,9.22196006775
4U,2548,DBV,TXL,Dubrovnik,Croatia,Berlin,Germany,42.5614013671875,18.268199920654297,52.5597,13.2877
4U,2548,DRS,CFU,Dresden,Germany,Kerkyra/corfu,Greece,51.1328010559082,13.767200469970703,39.601898193359375,19.911699295043945
4U,2548,DRS,CGN,Dresden,Germany,Cologne,Germany,51.1328010559082,13.767200469970703,50.8658981323,7.1427397728
4U,2548,DRS,DUS,Dresden,Germany,Duesseldorf,Germany,51.1328010559082,13.767200469970703,51.289501,6.766780000000001
4U,2548,DRS,STR,Dresden,Germany,Stuttgart,Germany,51.1328010559082,13.767200469970703,48.6898994446,9.22196006775
4U,2548,DTM,HDF,Dortmund,Germany,Heringsdorf,Germany,51.518299102799986,7.61223983765,53.8787002563,14.152299881
4U,2548,DTM,MUC,Dortmund,Germany,Munich,Germany,51.518299102799986,7.61223983765,48.353802,11.7861
4U,2548,DTM,PMI,Dortmund,Germany,Palma de Mallorca,Spain,51.518299102799986,7.61223983765,39.551700592,2.73881006241
4U,2548,DTM,SAW,Dortmund,Germany,Istanbul,Turkey,51.518299102799986,7.61223983765,40.898601532,29.3092002869
4U,2548,DTM,SPU,Dortmund,Germany,Split,Croatia,51.518299102799986,7.61223983765,43.53889846801758,16.29800033569336
4U,2548,DUB,CGN,Dublin,Ireland,Cologne,Germany,53.421299,-6.27007,50.8658981323,7.1427397728
4U,2548,DUB,DUS,Dublin,Ireland,Duesseldorf,Germany,53.421299,-6.27007,51.289501,6.766780000000001
4U,2548,DUS,AOI,Duesseldorf,Germany,Ancona,Italy,51.289501,6.766780000000001,43.616299,13.3623
4U,2548,DUS,ARN,Duesseldorf,Germany,Stockholm,Sweden,51.289501,6.766780000000001,59.65190124511699,17.918600082397
4U,2548,DUS,BCN,Duesseldorf,Germany,Barcelona,Spain,51.289501,6.766780000000001,41.2971,2.07846
4U,2548,DUS,BIA,Duesseldorf,Germany,Bastia,France,51.289501,6.766780000000001,42.55270004272461,9.48373031616211
4U,2548,DUS,BIO,Duesseldorf,Germany,Bilbao,Spain,51.289501,6.766780000000001,43.30110168457031,-2.9106099605560303
4U,2548,DUS,BRI,Duesseldorf,Germany,Bari,Italy,51.289501,6.766780000000001,41.138901,16.760599
4U,2548,DUS,BSL,Duesseldorf,Germany,Mulhouse,France,51.289501,6.766780000000001,47.59,7.5291667
4U,2548,DUS,CAG,Duesseldorf,Germany,Cagliari,Italy,51.289501,6.766780000000001,39.251499,9.05428
4U,2548,DUS,CTA,Duesseldorf,Germany,Catania,Italy,51.289501,6.766780000000001,37.466801,15.0664
4U,2548,DUS,CWL,Duesseldorf,Germany,Cardiff,United Kingdom,51.289501,6.766780000000001,51.39670181274414,-3.343329906463623
4U,2548,DUS,DBV,Duesseldorf,Germany,Dubrovnik,Croatia,51.289501,6.766780000000001,42.5614013671875,18.268199920654297
4U,2548,DUS,DRS,Duesseldorf,Germany,Dresden,Germany,51.289501,6.766780000000001,51.1328010559082,13.767200469970703
