Source airport,Destination airport
SKG,JKH
SKG,KLX
SKG,SMI
SMI,SKG
AOK,ATH
AOK,KSJ
AOK,RHO
ARN,KLX
ARN,SKG
ATH,AOK
ATH,AXD
ATH,BCN
ATH,BEG
ATH,BRU
ATH,BUD
ATH,CDG
ATH,CFU
ATH,CHQ
ATH,DUS
ATH,EFL
ATH,FCO
ATH,FRA
ATH,GVA
ATH,HER
ATH,IEV
ATH,IOA
ATH,JIK
ATH,JKH
ATH,JKL
ATH,JMK
ATH,JNX
ATH,JSI
ATH,JSY
ATH,JTR
ATH,JTY
ATH,KGS
ATH,KIT
ATH,KVA
ATH,LHR
ATH,LRS
ATH,LXS
ATH,LYS
ATH,MAD
ATH,MAN
ATH,MJT
ATH,MLO
ATH,MRS
ATH,MUC
ATH,MXP
ATH,NTE
ATH,OSL
ATH,OTP
ATH,PAS
ATH,PRG
ATH,RHO
ATH,SKG
ATH,SKU
ATH,SMI
ATH,SOF
ATH,TIA
ATH,TXL
ATH,VIE
ATH,WAW
ATH,ZTH
AXD,ATH
BCN,ATH
BEG,ATH
BOD,HER
BRU,ATH
BRU,HER
BUD,ATH
CDG,ATH
CDG,HER
CDG,RHO
CDG,SKG
CFU,ATH
CHQ,ATH
CHQ,SKG
CPH,SKG
DUS,ATH
DUS,HER
DUS,KLX
DUS,SKG
EFL,ATH
FCO,ATH
FRA,ATH
FRA,HER
FRA,SKG
GVA,ATH
GVA,OPO
HAJ,SKG
HER,ATH
HER,BOD
HER,BRU
HER,CDG
HER,DUS
HER,FRA
HER,MRS
HER,MUC
HER,RHO
HER,SKG
HER,TXL
HER,VIE
IEV,ATH
IOA,ATH
JIK,ATH
JKH,ATH
JKL,ATH
JKL,KGS
JKL,LRS
JMK,ATH
JNX,ATH
JSH,KSJ
JSI,ATH
JSY,ATH
JTR,ATH
JTY,ATH
JTY,LRS
KGS,ATH
KGS,JKL
KGS,RHO
KIT,ATH
KLX,ARN
KLX,DUS
KLX,MUC
KSJ,AOK
KSJ,JSH
KVA,ATH
KZS,RHO
LHR,ATH
LRS,ATH
LRS,JKL
LRS,JTY
LXS,ATH
LYS,ATH
MAD,ATH
MAN,ATH
MJT,ATH
MJT,SKG
MLO,ATH
MRS,ATH
MRS,HER
MUC,ATH
MUC,HER
MUC,KLX
MUC,SKG
MXP,ATH
NTE,ATH
NUE,SKG
OSL,ATH
OTP,ATH
PAS,ATH
PRG,ATH
RHO,AOK
RHO,ATH
RHO,CDG
RHO,HER
RHO,KGS
RHO,KZS
RHO,SKG
SKG,ARN
SKG,ATH
SKG,CDG
SKG,CHQ
SKG,CPH
SKG,DUS
SKG,FRA
SKG,HAJ
SKG,HER
SKG,MJT
SKG,MUC
SKG,NUE
SKG,RHO
SKG,STR
SKU,ATH
SMI,ATH
SOF,ATH
STR,SKG
TIA,ATH
TXL,ATH
TXL,HER
VIE,ATH
VIE,HER
WAW,ATH
ZRH,LIS
ZTH,ATH
AGF,DCM
AGF,ORY
AJA,BVE
AJA,DCM
AJA,PIS
AMS,CFE
AMS,SXB
AUR,ORY
BES,LYS
BES,NCE
BIA,LIL
BIQ,GVA
BIQ,LIL
BIQ,LYS
BIQ,NCE
BLQ,LYS
BOD,FCO
BOD,LIL
BOD,LYS
BOD,NCE
BOD,NTE
BOD,SXB
BRU,LYS
BRU,NTE
BVE,AJA
BVE,ORY
CFE,AMS
CFE,LYS
CFE,NCE
CFR,LYS
CFR,NCE
CFR,ORY
CLY,NTE
DCM,AGF
DCM,AJA
DCM,ORY
DUS,NTE
ETZ,LYS
ETZ,NCE
FCO,BOD
FCO,LYS
FCO,SXB
FLR,LYS
FSC,LIL
FSC,NTE
GOT,LYS
GVA,BIQ
LAI,ORY
LDE,ORY
LIL,BIA
LIL,BIQ
LIL,BOD
LIL,FSC
LIL,LYS
LIL,MPL
LIL,NTE
LIL,SXB
LIL,TLS
LRH,ORY
LRH,PIS
LRT,ORY
LYS,BES
LYS,BIQ
LYS,BLQ
LYS,BOD
LYS,BRU
LYS,CFE
LYS,CFR
LYS,ETZ
LYS,FCO
LYS,FLR
LYS,GOT
LYS,LIL
LYS,MPL
LYS,MRS
LYS,MXP
LYS,NTE
LYS,PIS
LYS,PRG
LYS,PUF
LYS,RNS
LYS,SXB
LYS,VCE
MPL,LIL
MPL,LYS
MPL,NTE
MPL,SXB
MRS,LYS
MRS,SXB
MRS,TLS
MXP,LYS
MXP,NTE
NCE,BES
NCE,BIQ
NCE,BOD
NCE,CFE
NCE,CFR
NCE,ETZ
NCE,RNS
NCE,TLS
NTE,BOD
NTE,BRU
NTE,CLY
NTE,DUS
NTE,FSC
NTE,LIL
NTE,LYS
NTE,MPL
NTE,MXP
NTE,SXB
NTE,TLS
ORY,AGF
ORY,AUR
ORY,BVE
ORY,CFR
ORY,DCM
ORY,LAI
ORY,LDE
ORY,LRH
ORY,LRT
ORY,PGF
ORY,RDZ
ORY,UIP
PGF,ORY
PIS,AJA
PIS,LRH
PIS,LYS
PRG,LYS
PUF,LYS
RDZ,ORY
RNS,LYS
RNS,NCE
RNS,TLS
SXB,AMS
SXB,BOD
SXB,FCO
SXB,LIL
SXB,LYS
SXB,MPL
SXB,MRS
SXB,NTE
TLS,LIL
TLS,MRS
TLS,NCE
TLS,NTE
TLS,RNS
UIP,ORY
VCE,LYS
ABZ,LHR
AGP,LHR
AMS,LHR
ARN,LHR
ATH,LHR
BCN,LHR
BGO,LHR
BHD,LHR
BLQ,LHR
BRU,LHR
BSL,LHR
BUD,LHR
CDG,LHR
CPH,LHR
DUB,LHR
DUS,LHR
EDI,LHR
FCO,LHR
FRA,LHR
GIB,LHR
GLA,LHR
GOT,LHR
GVA,LHR
HAJ,LHR
HAM,LHR
HEL,LHR
HEL,MAN
LBA,LHR
LHR,ABZ
LHR,AGP
LHR,AMS
LHR,ARN
LHR,ATH
LHR,BCN
LHR,BGO
LHR,BHD
LHR,BLQ
LHR,BRU
LHR,BSL
LHR,BUD
LHR,CDG
LHR,CPH
LHR,DUB
LHR,DUS
LHR,EDI
LHR,FCO
LHR,FRA
LHR,GIB
LHR,GLA
LHR,GOT
LHR,GVA
LHR,HAJ
LHR,HAM
LHR,HEL
LHR,LBA
LHR,LIN
LHR,LIS
LHR,LUX
LHR,LYS
LHR,MAN
LHR,MRS
LHR,MUC
LHR,MXP
LHR,NCE
LHR,NCL
LHR,OSL
LHR,OTP
LHR,PRG
LHR,PSA
LHR,RTM
LHR,SOF
LHR,STR
LHR,SVG
LHR,TLS
LHR,TXL
LHR,VCE
LHR,VIE
LHR,WAW
LHR,ZAG
LHR,ZRH
LIN,LHR
LIS,LHR
LUX,LHR
LYS,LHR
MAN,HEL
MAN,LHR
MRS,LHR
MUC,LHR
MXP,LHR
NCE,LHR
NCL,LHR
OSL,LHR
OTP,LHR
PRG,LHR
PSA,LHR
RTM,LHR
SOF,LHR
STR,LHR
SVG,LHR
TLS,LHR
TXL,LHR
VCE,LHR
VIE,LHR
WAW,LHR
ZAG,LHR
ZRH,LHR
AGP,CGN
AGP,DUS
AGP,HAM
AGP,MUC
AGP,PMI
AGP,STR
AGP,TXL
AGP,VIE
ALC,DUS
ALC,FRA
ALC,HAM
ALC,MUC
ALC,PMI
ALC,STR
ALC,TXL
ALC,ZRH
ARN,TXL
ARN,VIE
AYT,CGN
AYT,DRS
AYT,DUS
AYT,FMO
AYT,HAM
AYT,LEJ
AYT,MUC
AYT,NUE
AYT,PAD
AYT,STR
AYT,TXL
BCN,DUS
BCN,TXL
BCN,VIE
BDS,MUC
BDS,ZRH
BEG,DUS
BEG,FRA
BEG,STR
BEG,TXL
BIO,PMI
BRE,PMI
BRI,TXL
BSL,CTA
BSL,HER
BSL,IBZ
BSL,LHR
BSL,PMI
BUD,TXL
CAG,DUS
CAG,MUC
CDG,VIE
CFU,CGN
CFU,DUS
CFU,FMO
CFU,FRA
CFU,HAM
CFU,MUC
CFU,TXL
CFU,VIE
CGN,AGP
CGN,AYT
CGN,CFU
CGN,CLY
CGN,IBZ
CGN,KGS
CGN,MAH
CGN,MUC
CGN,OLB
CGN,PMI
CGN,SAW
CGN,TXL
CHQ,VIE
CLY,CGN
CLY,DUS
CLY,FMM
CLY,SZG
CPH,DUS
CPH,PMI
CPH,TXL
CPH,VIE
CTA,BSL
CTA,DUS
CTA,FRA
CTA,MUC
CTA,STR
CTA,TXL
CTA,ZRH
DRS,AYT
DRS,DUS
DRS,HER
DRS,PMI
DRS,RHO
DTM,PMI
DUS,AGP
DUS,ALC
DUS,AYT
DUS,BCN
DUS,BEG
DUS,CAG
DUS,CFU
DUS,CLY
DUS,CPH
DUS,CTA
DUS,DRS
DUS,FAO
DUS,FCO
DUS,FLR
DUS,FNC
DUS,GCI
DUS,GWT
DUS,HAM
DUS,HEL
DUS,HER
DUS,IBZ
DUS,JER
DUS,KGS
DUS,KVA
DUS,MAD
DUS,MAH
DUS,MJT
DUS,MUC
DUS,MXP
DUS,NAP
DUS,NCE
DUS,NUE
DUS,OLB
DUS,PMI
DUS,PVK
DUS,RHO
DUS,RIX
DUS,SAW
DUS,SKG
DUS,SMI
DUS,STN
DUS,STR
DUS,SZG
DUS,TXL
DUS,VCE
DUS,VIE
DUS,ZRH
DUS,ZTH
FAO,DUS
FAO,HAM
FAO,MUC
FAO,PMI
FAO,TXL
FCO,DUS
FCO,TXL
FCO,VIE
FDH,IBZ
FDH,PMI
FKB,PMI
FKB,TXL
FLR,DUS
FLR,STR
FLR,VIE
FMM,CLY
FMO,AYT
FMO,CFU
FMO,IBZ
FMO,PMI
FNC,DUS
FNC,LEJ
FNC,MUC
FNC,TXL
FNC,VIE
FNC,ZRH
FRA,ALC
FRA,BEG
FRA,CFU
FRA,CTA
FRA,GCI
FRA,HEL
FRA,IBZ
FRA,LCY
FRA,LHR
FRA,MAD
FRA,PMI
FRA,RIX
FRA,TXL
FRA,VIE
GCI,DUS
GCI,JER
GDN,TXL
GOT,TXL
GRZ,HER
GRZ,PMI
GRZ,TXL
GVA,MAD
GWT,DUS
GWT,MUC
GWT,STR
GWT,TXL
GWT,ZRH
HAJ,IBZ
HAJ,JER
HAJ,LHR
HAJ,PMI
HAJ,STR
HAJ,VIE
HAM,AGP
HAM,ALC
HAM,AYT
HAM,CFU
HAM,DUS
HAM,FAO
HAM,HEL
HAM,HER
HAM,IBZ
HAM,KGS
HAM,LHR
HAM,MUC
HAM,NUE
HAM,OLB
HAM,PMI
HAM,RIX
HAM,SKG
HAM,STR
HAM,SZG
HAM,VIE
HEL,DUS
HEL,FRA
HEL,HAM
HEL,MUC
HEL,TXL
HEL,VIE
HEL,ZRH
HER,BSL
HER,DRS
HER,DUS
HER,GRZ
HER,HAM
HER,LEJ
HER,LNZ
HER,MUC
HER,NUE
HER,SZG
HER,TXL
HER,VIE
HER,ZRH
IBZ,BSL
IBZ,CGN
IBZ,DUS
IBZ,FDH
IBZ,FMO
IBZ,FRA
IBZ,HAJ
IBZ,HAM
IBZ,MUC
IBZ,NUE
IBZ,PAD
IBZ,PMI
IBZ,STR
IBZ,TXL
IBZ,ZRH
INN,PMI
JER,DUS
JER,FRA
JER,HAJ
JER,STR
JMK,VIE
JTR,VIE
KGS,CGN
KGS,DUS
KGS,HAM
KGS,LEJ
KGS,MUC
KGS,TXL
KLX,VIE
KRK,TXL
KVA,DUS
KVA,MUC
LCY,FRA
LCY,ZRH
LEI,PMI
LEJ,AYT
LEJ,FNC
LEJ,HER
LEJ,KGS
LEJ,PMI
LGW,SZG
LHR,BSL
LHR,FRA
LHR,HAJ
LHR,HAM
LHR,MUC
LHR,ORY
LHR,STR
LHR,TXL
LHR,VIE
LHR,ZRH
LNZ,HER
LNZ,PMI
MAD,DUS
MAD,FRA
MAD,GVA
MAD,MUC
MAD,TXL
MAD,VIE
MAD,ZRH
MAH,CGN
MAH,DUS
MAH,MUC
MAH,PMI
MAH,TXL
MJT,DUS
MJT,MUC
MLA,VIE
MUC,AGP
MUC,ALC
MUC,AOK
MUC,AYT
MUC,BDS
MUC,CAG
MUC,CFU
MUC,CGN
MUC,CTA
MUC,DUS
MUC,FAO
MUC,FNC
MUC,GWT
MUC,HAM
MUC,HEL
MUC,HER
MUC,IBZ
MUC,KGS
MUC,KVA
MUC,LHR
MUC,MAD
