Source Airport IATA,Destination Airport IATA,Source City,Source Country,Destination City,Destination Country,Source Latitude,Source Longitude,Destination Latitude,Destination Longitude,Distance
ARN,TRF,Stockholm,Sweden,Sandefjord,Norway,59.65190124511699,17.918600082397,59.1866989136,10.258600235,436.15828742943165
ARN,VBY,Stockholm,Sweden,Visby,Sweden,59.65190124511699,17.918600082397,57.662799835205,18.346200942993,222.55517159028344
ARN,VHM,Stockholm,Sweden,Vilhelmina,Sweden,59.65190124511699,17.918600082397,64.5791015625,16.833599090576172,550.7566446512778
ARN,VXO,Stockholm,Sweden,Vaxjo,Sweden,59.65190124511699,17.918600082397,56.929100036621094,14.727999687194824,355.49050697254825
GEV,ARN,Gallivare,Sweden,Stockholm,Sweden,67.13240051269531,20.814599990844727,59.65190124511699,17.918600082397,843.9758148468123
GEV,KRF,Gallivare,Sweden,Kramfors,Sweden,67.13240051269531,20.814599990844727,63.04859924316406,17.76889991760254,475.83525850542134
HAD,ARN,Halmstad,Sweden,Stockholm,Sweden,56.69110107421875,12.820199966430664,59.65190124511699,17.918600082397,444.47843726187915
HAD,JKG,Halmstad,Sweden,Joenkoeping,Sweden,56.69110107421875,12.820199966430664,57.75759887695313,14.068699836730955,140.392359401131
HAD,VXO,Halmstad,Sweden,Vaxjo,Sweden,56.69110107421875,12.820199966430664,56.929100036621094,14.727999687194824,119.10046954751851
HMV,VHM,Hemavan,Sweden,Vilhelmina,Sweden,65.80609893798828,15.082799911499023,64.5791015625,16.833599090576172,159.00438759313695
JKG,ARN,Joenkoeping,Sweden,Stockholm,Sweden,57.75759887695313,14.068699836730955,59.65190124511699,17.918600082397,306.20541977348506
JKG,HAD,Joenkoeping,Sweden,Halmstad,Sweden,57.75759887695313,14.068699836730955,56.69110107421875,12.820199966430664,140.392359401131
KOK,POR,Kruunupyy,Finland,Pori,Finland,63.721199035645,23.143100738525,61.46170043945301,21.799999237061,260.4663541282297
KRF,ARN,Kramfors,Sweden,Stockholm,Sweden,63.04859924316406,17.76889991760254,59.65190124511699,17.918600082397,377.77962351832747
KRF,GEV,Kramfors,Sweden,Gallivare,Sweden,63.04859924316406,17.76889991760254,67.13240051269531,20.814599990844727,475.83525850542134
KSD,ARN,Karlstad,Sweden,Stockholm,Sweden,59.4446983337,13.3374004364,59.65190124511699,17.918600082397,259.14683110204675
LYC,AJR,Lycksele,Sweden,Arvidsjaur,Sweden,64.54830169677734,18.71619987487793,65.59030151367189,19.28190040588379,118.85904094007392
LYC,ARN,Lycksele,Sweden,Stockholm,Sweden,64.54830169677734,18.71619987487793,59.65190124511699,17.918600082397,546.0229776499898
MHQ,ARN,Mariehamn,Finland,Stockholm,Sweden,60.122200012207,19.898199081421,59.65190124511699,17.918600082397,122.18564500712132
MHQ,TKU,Mariehamn,Finland,Turku,Finland,60.122200012207,19.898199081421,60.514099121094,22.262800216675,137.28935130200296
OER,ARN,Ornskoldsvik,Sweden,Stockholm,Sweden,63.40829849243164,18.989999771118164,59.65190124511699,17.918600082397,421.5199429806096
OSL,VXO,Oslo,Norway,Vaxjo,Sweden,60.121,11.0502,56.929100036621094,14.727999687194824,414.0599300188711
POR,ARN,Pori,Finland,Stockholm,Sweden,61.46170043945301,21.799999237061,59.65190124511699,17.918600082397,292.32656992518366
POR,KOK,Pori,Finland,Kruunupyy,Finland,61.46170043945301,21.799999237061,63.721199035645,23.143100738525,260.4663541282297
TKU,MHQ,Turku,Finland,Mariehamn,Finland,60.514099121094,22.262800216675,60.122200012207,19.898199081421,137.28935130200296
TRF,ARN,Sandefjord,Norway,Stockholm,Sweden,59.1866989136,10.258600235,59.65190124511699,17.918600082397,436.15828742943165
VBY,ARN,Visby,Sweden,Stockholm,Sweden,57.662799835205,18.346200942993,59.65190124511699,17.918600082397,222.55517159028344
VHM,ARN,Vilhelmina,Sweden,Stockholm,Sweden,64.5791015625,16.833599090576172,59.65190124511699,17.918600082397,550.7566446512778
VHM,HMV,Vilhelmina,Sweden,Hemavan,Sweden,64.5791015625,16.833599090576172,65.80609893798828,15.082799911499023,159.00438759313695
VXO,ARN,Vaxjo,Sweden,Stockholm,Sweden,56.929100036621094,14.727999687194824,59.65190124511699,17.918600082397,355.49050697254825
VXO,OSL,Vaxjo,Sweden,Oslo,Norway,56.929100036621094,14.727999687194824,60.121,11.0502,414.0599300188711
ACH,EBA,Altenrhein,Switzerland,Marina Di Campo,Italy,47.4850006104,9.560770034789998,42.7603,10.2394,528.0477740811091
DRS,ZRH,Dresden,Germany,Zurich,Switzerland,51.1328010559082,13.767200469970703,47.464699,8.54917,556.0760974015303
DUS,FDH,Duesseldorf,Germany,Friedrichshafen,Germany,51.289501,6.766780000000001,47.671298980699994,9.511489868160002,448.4569213226282
EBA,ACH,Marina Di Campo,Italy,Altenrhein,Switzerland,42.7603,10.2394,47.4850006104,9.560770034789998,528.0477740811091
EBA,FDH,Marina Di Campo,Italy,Friedrichshafen,Germany,42.7603,10.2394,47.671298980699994,9.511489868160002,549.0393898748847
EBA,MUC,Marina Di Campo,Italy,Munich,Germany,42.7603,10.2394,48.353802,11.7861,633.4820175620449
EBA,ZRH,Marina Di Campo,Italy,Zurich,Switzerland,42.7603,10.2394,47.464699,8.54917,539.621197131775
FDH,DUS,Friedrichshafen,Germany,Duesseldorf,Germany,47.671298980699994,9.511489868160002,51.289501,6.766780000000001,448.4569213226282
FDH,EBA,Friedrichshafen,Germany,Marina Di Campo,Italy,47.671298980699994,9.511489868160002,42.7603,10.2394,549.0393898748847
FDH,HAM,Friedrichshafen,Germany,Hamburg,Germany,47.671298980699994,9.511489868160002,53.630401611328,9.988229751586902,663.4696987641304
FDH,OLB,Friedrichshafen,Germany,Olbia,Italy,47.671298980699994,9.511489868160002,40.898701,9.51763,753.0786935544605
FDH,TXL,Friedrichshafen,Germany,Berlin,Germany,47.671298980699994,9.511489868160002,52.5597,13.2877,606.3933738980058
FDH,ZAD,Friedrichshafen,Germany,Zadar,Croatia,47.671298980699994,9.511489868160002,44.108299,15.3467,600.4676451795789
FMM,NAP,Memmingen,Germany,Naples,Italy,47.9888000488,10.2395000458,40.886002000000005,14.2908,852.4672741359705
GRZ,ZRH,Graz,Austria,Zurich,Switzerland,46.9911003112793,15.439599990844728,47.464699,8.54917,522.7845543929949
HAM,FDH,Hamburg,Germany,Friedrichshafen,Germany,53.630401611328,9.988229751586902,47.671298980699994,9.511489868160002,663.4696987641304
MUC,EBA,Munich,Germany,Marina Di Campo,Italy,48.353802,11.7861,42.7603,10.2394,633.4820175620449
NAP,FMM,Naples,Italy,Memmingen,Germany,40.886002000000005,14.2908,47.9888000488,10.2395000458,852.4672741359705
OLB,FDH,Olbia,Italy,Friedrichshafen,Germany,40.898701,9.51763,47.671298980699994,9.511489868160002,753.0786935544605
SZG,ZRH,Salzburg,Austria,Zurich,Switzerland,47.7933006287,13.0043001175,47.464699,8.54917,335.80182354772097
TXL,FDH,Berlin,Germany,Friedrichshafen,Germany,52.5597,13.2877,47.671298980699994,9.511489868160002,606.3933738980058
ZAD,FDH,Zadar,Croatia,Friedrichshafen,Germany,44.108299,15.3467,47.671298980699994,9.511489868160002,600.4676451795789
ZRH,DRS,Zurich,Switzerland,Dresden,Germany,47.464699,8.54917,51.1328010559082,13.767200469970703,556.0760974015303
ZRH,EBA,Zurich,Switzerland,Marina Di Campo,Italy,47.464699,8.54917,42.7603,10.2394,539.621197131775
ZRH,GRZ,Zurich,Switzerland,Graz,Austria,47.464699,8.54917,46.9911003112793,15.439599990844728,522.7845543929949
ZRH,SZG,Zurich,Switzerland,Salzburg,Austria,47.464699,8.54917,47.7933006287,13.0043001175,335.80182354772097
AYT,ZRH,Antalya,Turkey,Zurich,Switzerland,36.898701,30.800501,47.464699,8.54917,2165.571145859899
PRN,ZRH,Pristina,Serbia,Zurich,Switzerland,42.5728,21.035801,47.464699,8.54917,1120.2225531190813
SKP,ZRH,Skopje,Macedonia,Zurich,Switzerland,41.961601,21.621401,47.464699,8.54917,1198.2981048409072
ZRH,AYT,Zurich,Switzerland,Antalya,Turkey,47.464699,8.54917,36.898701,30.800501,2165.571145859899
ZRH,PRN,Zurich,Switzerland,Pristina,Serbia,47.464699,8.54917,42.5728,21.035801,1120.2225531190813
ZRH,SKP,Zurich,Switzerland,Skopje,Macedonia,47.464699,8.54917,41.961601,21.621401,1198.2981048409072
AGP,STR,Malaga,Spain,Stuttgart,Germany,36.67490005493164,-4.499110221862793,48.6898994446,9.22196006775,1738.875525214008
AGP,TXL,Malaga,Spain,Berlin,Germany,36.67490005493164,-4.499110221862793,52.5597,13.2877,2245.8757428290896
AMS,HAM,Amsterdam,Netherlands,Hamburg,Germany,52.308601,4.76389,53.630401611328,9.988229751586902,379.356902650655
AOI,DUS,Ancona,Italy,Duesseldorf,Germany,43.616299,13.3623,51.289501,6.766780000000001,985.9470500757207
AOI,TXL,Ancona,Italy,Berlin,Germany,43.616299,13.3623,52.5597,13.2877,994.4761069085556
ARN,CGN,Stockholm,Sweden,Cologne,Germany,59.65190124511699,17.918600082397,50.8658981323,7.1427397728,1188.763786523187
ARN,DUS,Stockholm,Sweden,Duesseldorf,Germany,59.65190124511699,17.918600082397,51.289501,6.766780000000001,1162.4021441822888
ARN,HAM,Stockholm,Sweden,Hamburg,Germany,59.65190124511699,17.918600082397,53.630401611328,9.988229751586902,825.5040617457934
ATH,CGN,Athens,Greece,Cologne,Germany,37.9364013672,23.944499969499997,50.8658981323,7.1427397728,1952.6899886186536
ATH,STR,Athens,Greece,Stuttgart,Germany,37.9364013672,23.944499969499997,48.6898994446,9.22196006775,1682.158036173202
AYT,CGN,Antalya,Turkey,Cologne,Germany,36.898701,30.800501,50.8658981323,7.1427397728,2432.083840357316
BCN,CGN,Barcelona,Spain,Cologne,Germany,41.2971,2.07846,50.8658981323,7.1427397728,1132.7456900354834
BCN,DUS,Barcelona,Spain,Duesseldorf,Germany,41.2971,2.07846,51.289501,6.766780000000001,1167.4145868113608
BCN,HAJ,Barcelona,Spain,Hannover,Germany,41.2971,2.07846,52.461101532,9.68507957458,1367.6018130093164
BCN,HAM,Barcelona,Spain,Hamburg,Germany,41.2971,2.07846,53.630401611328,9.988229751586902,1492.5636307154116
BCN,STR,Barcelona,Spain,Stuttgart,Germany,41.2971,2.07846,48.6898994446,9.22196006775,994.6559866495118
BDS,STR,Brindisi,Italy,Stuttgart,Germany,40.6576,17.947001,48.6898994446,9.22196006775,1127.022171906222
BEG,STR,Belgrade,Serbia,Stuttgart,Germany,44.8184013367,20.3090991974,48.6898994446,9.22196006775,946.7758222097561
BGO,HAM,Bergen,Norway,Hamburg,Germany,60.29339981,5.218140125,53.630401611328,9.988229751586902,794.8250293945966
BHX,HAM,Birmingham,United Kingdom,Hamburg,Germany,52.4538993835,-1.7480299472799998,53.630401611328,9.988229751586902,794.4900140144011
BHX,TXL,Birmingham,United Kingdom,Berlin,Germany,52.4538993835,-1.7480299472799998,52.5597,13.2877,1015.8542608423149
BIA,CGN,Bastia,France,Cologne,Germany,42.55270004272461,9.48373031616211,50.8658981323,7.1427397728,941.3290366127146
BIA,DUS,Bastia,France,Duesseldorf,Germany,42.55270004272461,9.48373031616211,51.289501,6.766780000000001,992.9733168088554
BIA,HAM,Bastia,France,Hamburg,Germany,42.55270004272461,9.48373031616211,53.630401611328,9.988229751586902,1232.3455823149216
BIA,STR,Bastia,France,Stuttgart,Germany,42.55270004272461,9.48373031616211,48.6898994446,9.22196006775,682.7278194714254
BIA,TXL,Bastia,France,Berlin,Germany,42.55270004272461,9.48373031616211,52.5597,13.2877,1148.3378583755034
BIO,DUS,Bilbao,Spain,Duesseldorf,Germany,43.30110168457031,-2.9106099605560303,51.289501,6.766780000000001,1147.6346590297217
BIO,STR,Bilbao,Spain,Stuttgart,Germany,43.30110168457031,-2.9106099605560303,48.6898994446,9.22196006775,1110.41030619376
BLQ,CGN,Bologna,Italy,Cologne,Germany,44.5354,11.2887,50.8658981323,7.1427397728,768.9528126133032
BLQ,TXL,Bologna,Italy,Berlin,Germany,44.5354,11.2887,52.5597,13.2877,904.2179487381707
BRE,STR,Bremen,Germany,Stuttgart,Germany,53.0475006104,8.78666973114,48.6898994446,9.22196006775,485.5024770412685
BRI,CGN,Bari,Italy,Cologne,Germany,41.138901,16.760599,50.8658981323,7.1427397728,1309.7464820732512
BRI,DUS,Bari,Italy,Duesseldorf,Germany,41.138901,16.760599,51.289501,6.766780000000001,1363.0304525869192
BRI,STR,Bari,Italy,Stuttgart,Germany,41.138901,16.760599,48.6898994446,9.22196006775,1027.173208007334
BRU,STR,Brussels,Belgium,Stuttgart,Germany,50.9014015198,4.48443984985,48.6898994446,9.22196006775,419.5135356189335
BSL,DUS,Mulhouse,France,Duesseldorf,Germany,47.59,7.5291667,51.289501,6.766780000000001,415.0361388516746
BUD,CGN,Budapest,Hungary,Cologne,Germany,47.429759999999995,19.261093,50.8658981323,7.1427397728,959.1916354074964
BUD,HAM,Budapest,Hungary,Hamburg,Germany,47.429759999999995,19.261093,53.630401611328,9.988229751586902,949.8154517034169
BUD,STR,Budapest,Hungary,Stuttgart,Germany,47.429759999999995,19.261093,48.6898994446,9.22196006775,758.5389160559727
CAG,CGN,Cagliari,Italy,Cologne,Germany,39.251499,9.05428,50.8658981323,7.1427397728,1300.0409109672235
CAG,DUS,Cagliari,Italy,Duesseldorf,Germany,39.251499,9.05428,51.289501,6.766780000000001,1350.30272067324
CAG,STR,Cagliari,Italy,Stuttgart,Germany,39.251499,9.05428,48.6898994446,9.22196006775,1049.5872906672219
CDG,HAM,Paris,France,Hamburg,Germany,49.012798,2.55,53.630401611328,9.988229751586902,727.8466214152309
CFU,CGN,Kerkyra/corfu,Greece,Cologne,Germany,39.601898193359375,19.911699295043945,50.8658981323,7.1427397728,1597.9198065103762
CFU,DRS,Kerkyra/corfu,Greece,Dresden,Germany,39.601898193359375,19.911699295043945,51.1328010559082,13.767200469970703,1367.8823830096908
CFU,STR,Kerkyra/corfu,Greece,Stuttgart,Germany,39.601898193359375,19.911699295043945,48.6898994446,9.22196006775,1319.7793890657676
CGN,ARN,Cologne,Germany,Stockholm,Sweden,50.8658981323,7.1427397728,59.65190124511699,17.918600082397,1188.763786523187
CGN,ATH,Cologne,Germany,Athens,Greece,50.8658981323,7.1427397728,37.9364013672,23.944499969499997,1952.6899886186536
CGN,AYT,Cologne,Germany,Antalya,Turkey,50.8658981323,7.1427397728,36.898701,30.800501,2432.083840357316
CGN,BCN,Cologne,Germany,Barcelona,Spain,50.8658981323,7.1427397728,41.2971,2.07846,1132.7456900354834
CGN,BIA,Cologne,Germany,Bastia,France,50.8658981323,7.1427397728,42.55270004272461,9.48373031616211,941.3290366127146
CGN,BLQ,Cologne,Germany,Bologna,Italy,50.8658981323,7.1427397728,44.5354,11.2887,768.9528126133032
CGN,BRI,Cologne,Germany,Bari,Italy,50.8658981323,7.1427397728,41.138901,16.760599,1309.7464820732512
CGN,BUD,Cologne,Germany,Budapest,Hungary,50.8658981323,7.1427397728,47.429759999999995,19.261093,959.1916354074964
CGN,CAG,Cologne,Germany,Cagliari,Italy,50.8658981323,7.1427397728,39.251499,9.05428,1300.0409109672235
CGN,CFU,Cologne,Germany,Kerkyra/corfu,Greece,50.8658981323,7.1427397728,39.601898193359375,19.911699295043945,1597.9198065103762
CGN,CLY,Cologne,Germany,Calvi,France,50.8658981323,7.1427397728,42.52444439999999,8.793055599999999,935.9622649344598
CGN,CTA,Cologne,Germany,Catania,Italy,50.8658981323,7.1427397728,37.466801,15.0664,1616.1579138575246
CGN,DBV,Cologne,Germany,Dubrovnik,Croatia,50.8658981323,7.1427397728,42.5614013671875,18.268199920654297,1251.1730332839106
CGN,DRS,Cologne,Germany,Dresden,Germany,50.8658981323,7.1427397728,51.1328010559082,13.767200469970703,464.35896985408965
CGN,DUB,Cologne,Germany,Dublin,Ireland,50.8658981323,7.1427397728,53.421299,-6.27007,956.6855635579964
CGN,EDI,Cologne,Germany,Edinburgh,United Kingdom,50.8658981323,7.1427397728,55.95000076293945,-3.372499942779541,895.8076802463069
CGN,FAO,Cologne,Germany,Faro,Portugal,50.8658981323,7.1427397728,37.0144004822,-7.965909957889999,1950.5133996456357
CGN,FCO,Cologne,Germany,Rome,Italy,50.8658981323,7.1427397728,41.8002778,12.2388889,1080.6606292463625
CGN,FDH,Cologne,Germany,Friedrichshafen,Germany,50.8658981323,7.1427397728,47.671298980699994,9.511489868160002,394.56426328199507
CGN,HAM,Cologne,Germany,Hamburg,Germany,50.8658981323,7.1427397728,53.630401611328,9.988229751586902,363.27867512066445
CGN,HDF,Cologne,Germany,Heringsdorf,Germany,50.8658981323,7.1427397728,53.8787002563,14.152299881,581.5349473386814
CGN,HER,Cologne,Germany,Heraklion,Greece,50.8658981323,7.1427397728,35.3396987915,25.1802997589,2251.435072244162
CGN,IBZ,Cologne,Germany,Ibiza,Spain,50.8658981323,7.1427397728,38.8728981018,1.3731199502899998,1407.8434083066222
CGN,JMK,Cologne,Germany,Mykonos,Greece,50.8658981323,7.1427397728,37.43510055541992,25.348100662231445,2072.2844721076212
CGN,JTR,Cologne,Germany,Thira,Greece,50.8658981323,7.1427397728,36.39920043945313,25.47929954528809,2171.0176748087565
CGN,KGS,Cologne,Germany,Kos,Greece,50.8658981323,7.1427397728,36.79330062866211,27.09169960021973,2224.4705164166426
CGN,KLU,Cologne,Germany,Klagenfurt,Austria,50.8658981323,7.1427397728,46.642502,14.3377,705.6442964859601
CGN,KVA,Cologne,Germany,Kavala,Greece,50.8658981323,7.1427397728,40.91329956054688,24.619199752807617,1740.0195465716808
CGN,LEJ,Cologne,Germany,Leipzig,Germany,50.8658981323,7.1427397728,51.423889,12.236389,360.6239699094352
CGN,LHR,Cologne,Germany,London,United Kingdom,50.8658981323,7.1427397728,51.4706,-0.461941,534.2208064423635
CGN,LIS,Cologne,Germany,Lisbon,Portugal,50.8658981323,7.1427397728,38.7813,-9.13592,1850.4544738557865
CGN,MAN,Cologne,Germany,Manchester,United Kingdom,50.8658981323,7.1427397728,53.35369873046875,-2.2749500274658203,699.4167323576169
CGN,MXP,Cologne,Germany,Milano,Italy,50.8658981323,7.1427397728,45.6306,8.728110000000001,593.8175855681068
CGN,NAP,Cologne,Germany,Naples,Italy,50.8658981323,7.1427397728,40.886002000000005,14.2908,1238.6401864614131
CGN,NCE,Cologne,Germany,Nice,France,50.8658981323,7.1427397728,43.658401489300005,7.215869903560001,801.4559468487387
CGN,OLB,Cologne,Germany,Olbia,Italy,50.8658981323,7.1427397728,40.898701,9.51763,1123.2838994811948
CGN,PMI,Cologne,Germany,Palma de Mallorca,Spain,50.8658981323,7.1427397728,39.551700592,2.73881006241,1303.9162441110568
CGN,PMO,Cologne,Germany,Palermo,Italy,50.8658981323,7.1427397728,38.175999,13.091,1486.541628106779
CGN,PRG,Cologne,Germany,Prague,Czech Republic,50.8658981323,7.1427397728,50.1008,14.26,510.49762720512047
CGN,PSA,Cologne,Germany,Pisa,Italy,50.8658981323,7.1427397728,43.683899,10.3927,835.1754220310766
CGN,PUY,Cologne,Germany,Pula,Croatia,50.8658981323,7.1427397728,44.89350128173828,13.922200202941896,833.9115959982405
CGN,RHO,Cologne,Germany,Rhodos,Greece,50.8658981323,7.1427397728,36.40539932250977,28.086200714111328,2314.0196413970807
CGN,RJK,Cologne,Germany,Rijeka,Croatia,50.8658981323,7.1427397728,45.21689987182617,14.570300102233888,835.5117427148813
CGN,RLG,Cologne,Germany,Laage,Germany,50.8658981323,7.1427397728,53.9182014465,12.2783002853,486.2198258157691
CGN,SAW,Cologne,Germany,Istanbul,Turkey,50.8658981323,7.1427397728,40.898601532,29.3092002869,2030.3443296240853
CGN,SJJ,Cologne,Germany,Sarajevo,Bosnia and Herzegovina,50.8658981323,7.1427397728,43.82460021972656,18.331499099731445,1148.2105127748916
CGN,SKG,Cologne,Germany,Thessaloniki,Greece,50.8658981323,7.1427397728,40.51969909667969,22.97089958190918,1677.1687792767113
CGN,SPU,Cologne,Germany,Split,Croatia,50.8658981323,7.1427397728,43.53889846801758,16.29800033569336,1067.0878955546468
CGN,STN,Cologne,Germany,London,United Kingdom,50.8658981323,7.1427397728,51.8849983215,0.234999999404,492.4642154829361
CGN,SUF,Cologne,Germany,Lamezia,Italy,50.8658981323,7.1427397728,38.905399,16.2423,1508.216674209751
CGN,SZG,Cologne,Germany,Salzburg,Austria,50.8658981323,7.1427397728,47.7933006287,13.0043001175,544.8365426780226
CGN,TXL,Cologne,Germany,Berlin,Germany,50.8658981323,7.1427397728,52.5597,13.2877,463.17545939967533
CGN,VCE,Cologne,Germany,Venice,Italy,50.8658981323,7.1427397728,45.505299,12.3519,709.8355360890043
CGN,VIE,Cologne,Germany,Vienna,Austria,50.8658981323,7.1427397728,48.110298156738,16.569700241089002,745.9889511619197
CGN,VRN,Cologne,Germany,Villafranca,Italy,50.8658981323,7.1427397728,45.395699,10.8885,668.5539981351038
CGN,WAW,Cologne,Germany,Warsaw,Poland,50.8658981323,7.1427397728,52.1656990051,20.9671001434,965.9289323157834
CGN,XRY,Cologne,Germany,Jerez,Spain,50.8658981323,7.1427397728,36.74459838867188,-6.060110092163086,1887.942410653861
CGN,ZAD,Cologne,Germany,Zadar,Croatia,50.8658981323,7.1427397728,44.108299,15.3467,970.7021400487887
CGN,ZAG,Cologne,Germany,Zagreb,Croatia,50.8658981323,7.1427397728,45.742900848400005,16.0687999725,870.9157536997376
CGN,ZRH,Cologne,Germany,Zurich,Switzerland,50.8658981323,7.1427397728,47.464699,8.54917,391.75684624557147
CLY,CGN,Calvi,France,Cologne,Germany,42.52444439999999,8.793055599999999,50.8658981323,7.1427397728,935.9622649344598
CTA,CGN,Catania,Italy,Cologne,Germany,37.466801,15.0664,50.8658981323,7.1427397728,1616.1579138575246
CTA,DUS,Catania,Italy,Duesseldorf,Germany,37.466801,15.0664,51.289501,6.766780000000001,1670.0090529248314
CTA,HAJ,Catania,Italy,Hannover,Germany,37.466801,15.0664,52.461101532,9.68507957458,1718.9937956123285
CTA,HAM,Catania,Italy,Hamburg,Germany,37.466801,15.0664,53.630401611328,9.988229751586902,1839.1170632540152
CTA,STR,Catania,Italy,Stuttgart,Germany,37.466801,15.0664,48.6898994446,9.22196006775,1334.1650321404718
CTA,TXL,Catania,Italy,Berlin,Germany,37.466801,15.0664,52.5597,13.2877,1683.9329879053187
CWL,DUS,Cardiff,United Kingdom,Duesseldorf,Germany,51.39670181274414,-3.343329906463623,51.289501,6.766780000000001,701.7777363594114
DBV,CGN,Dubrovnik,Croatia,Cologne,Germany,42.5614013671875,18.268199920654297,50.8658981323,7.1427397728,1251.1730332839106
DBV,DUS,Dubrovnik,Croatia,Duesseldorf,Germany,42.5614013671875,18.268199920654297,51.289501,6.766780000000001,1302.6377200047748
DBV,HAJ,Dubrovnik,Croatia,Hannover,Germany,42.5614013671875,18.268199920654297,52.461101532,9.68507957458,1273.639648404538
DBV,HAM,Dubrovnik,Croatia,Hamburg,Germany,42.5614013671875,18.268199920654297,53.630401611328,9.988229751586902,1373.7165300701126
DBV,STR,Dubrovnik,Croatia,Stuttgart,Germany,42.5614013671875,18.268199920654297,48.6898994446,9.22196006775,978.1478319155185
DBV,TXL,Dubrovnik,Croatia,Berlin,Germany,42.5614013671875,18.268199920654297,52.5597,13.2877,1172.1756478909977
DRS,CFU,Dresden,Germany,Kerkyra/corfu,Greece,51.1328010559082,13.767200469970703,39.601898193359375,19.911699295043945,1367.8823830096908
DRS,CGN,Dresden,Germany,Cologne,Germany,51.1328010559082,13.767200469970703,50.8658981323,7.1427397728,464.35896985408965
DRS,DUS,Dresden,Germany,Duesseldorf,Germany,51.1328010559082,13.767200469970703,51.289501,6.766780000000001,487.76347017180046
DRS,STR,Dresden,Germany,Stuttgart,Germany,51.1328010559082,13.767200469970703,48.6898994446,9.22196006775,423.7930328654882
DTM,HDF,Dortmund,Germany,Heringsdorf,Germany,51.518299102799986,7.61223983765,53.8787002563,14.152299881,512.6440190850309
DTM,MUC,Dortmund,Germany,Munich,Germany,51.518299102799986,7.61223983765,48.353802,11.7861,461.42129693754333
DTM,PMI,Dortmund,Germany,Palma de Mallorca,Spain,51.518299102799986,7.61223983765,39.551700592,2.73881006241,1382.9114249228974
DTM,SAW,Dortmund,Germany,Istanbul,Turkey,51.518299102799986,7.61223983765,40.898601532,29.3092002869,2032.3650163741465
DTM,SPU,Dortmund,Germany,Split,Croatia,51.518299102799986,7.61223983765,43.53889846801758,16.29800033569336,1099.5158891000633
DUB,CGN,Dublin,Ireland,Cologne,Germany,53.421299,-6.27007,50.8658981323,7.1427397728,956.6855635579964
DUB,DUS,Dublin,Ireland,Duesseldorf,Germany,53.421299,-6.27007,51.289501,6.766780000000001,915.1061161724592
DUS,AOI,Duesseldorf,Germany,Ancona,Italy,51.289501,6.766780000000001,43.616299,13.3623,985.9470500757207
DUS,ARN,Duesseldorf,Germany,Stockholm,Sweden,51.289501,6.766780000000001,59.65190124511699,17.918600082397,1162.4021441822888
DUS,BCN,Duesseldorf,Germany,Barcelona,Spain,51.289501,6.766780000000001,41.2971,2.07846,1167.4145868113608
DUS,BIA,Duesseldorf,Germany,Bastia,France,51.289501,6.766780000000001,42.55270004272461,9.48373031616211,992.9733168088554
DUS,BIO,Duesseldorf,Germany,Bilbao,Spain,51.289501,6.766780000000001,43.30110168457031,-2.9106099605560303,1147.6346590297217
DUS,BRI,Duesseldorf,Germany,Bari,Italy,51.289501,6.766780000000001,41.138901,16.760599,1363.0304525869192
