Source Airport IATA,Destination Airport IATA,Source City,Source Country,Destination City,Destination Country,Source Latitude,Source Longitude,Destination Latitude,Destination Longitude,Distance,Estimated Cost
BRE,STR,Bremen,Germany,Stuttgart,Germany,53.0475006104,8.78666973114,48.6898994446,9.22196006775,485.5024770412685,118
BRI,CGN,Bari,Italy,Cologne,Germany,41.138901,16.760599,50.8658981323,7.1427397728,1309.7464820732512,314
BRI,DUS,Bari,Italy,Duesseldorf,Germany,41.138901,16.760599,51.289501,6.766780000000001,1363.0304525869192,325
BRI,STR,Bari,Italy,Stuttgart,Germany,41.138901,16.760599,48.6898994446,9.22196006775,1027.173208007334,251
BRU,STR,Brussels,Belgium,Stuttgart,Germany,50.9014015198,4.48443984985,48.6898994446,9.22196006775,419.5135356189335,105
BSL,DUS,Mulhouse,France,Duesseldorf,Germany,47.59,7.5291667,51.289501,6.766780000000001,415.0361388516746,104
BUD,CGN,Budapest,Hungary,Cologne,Germany,47.429759999999995,19.261093,50.8658981323,7.1427397728,959.1916354074964,217
BUD,HAM,Budapest,Hungary,Hamburg,Germany,47.429759999999995,19.261093,53.630401611328,9.988229751586902,949.8154517034168,215
BUD,STR,Budapest,Hungary,Stuttgart,Germany,47.429759999999995,19.261093,48.6898994446,9.22196006775,758.5389160559727,177
CAG,CGN,Cagliari,Italy,Cologne,Germany,39.251499,9.05428,50.8658981323,7.1427397728,1300.0409109672237,312
CAG,DUS,Cagliari,Italy,Duesseldorf,Germany,39.251499,9.05428,51.289501,6.766780000000001,1350.30272067324,323
CAG,STR,Cagliari,Italy,Stuttgart,Germany,39.251499,9.05428,48.6898994446,9.22196006775,1049.587290667222,256
CDG,HAM,Paris,France,Hamburg,Germany,49.012798,2.55,53.630401611328,9.988229751586902,727.8466214152309,171
CFU,CGN,Kerkyra/corfu,Greece,Cologne,Germany,39.601898193359375,19.911699295043945,50.8658981323,7.1427397728,1597.9198065103762,425
CFU,DRS,Kerkyra/corfu,Greece,Dresden,Germany,39.601898193359375,19.911699295043945,51.1328010559082,13.767200469970703,1367.8823830096908,326
CFU,STR,Kerkyra/corfu,Greece,Stuttgart,Germany,39.601898193359375,19.911699295043945,48.6898994446,9.22196006775,1319.7793890657676,316
CGN,ARN,Cologne,Germany,Stockholm,Sweden,50.8658981323,7.1427397728,59.65190124511699,17.918600082397,1188.763786523187,287
CGN,ATH,Cologne,Germany,Athens,Greece,50.8658981323,7.1427397728,37.9364013672,23.944499969499997,1952.6899886186536,514
CGN,AYT,Cologne,Germany,Antalya,Turkey,50.8658981323,7.1427397728,36.898701,30.800501,2432.083840357316,634
CGN,BCN,Cologne,Germany,Barcelona,Spain,50.8658981323,7.1427397728,41.2971,2.07846,1132.7456900354834,275
CGN,BIA,Cologne,Germany,Bastia,France,50.8658981323,7.1427397728,42.55270004272461,9.48373031616211,941.3290366127146,214
CGN,BLQ,Cologne,Germany,Bologna,Italy,50.8658981323,7.1427397728,44.5354,11.2887,768.9528126133032,179
CGN,BRI,Cologne,Germany,Bari,Italy,50.8658981323,7.1427397728,41.138901,16.760599,1309.7464820732512,314
